detection_index,frame_count,start_sample_2m,preamble_end_sample_2m,estimated_packet_end_sample_2m,header_ok,crc_valid,decoded_frame_hex,decoded_payload_len,grlora_snr_db,cfo_hz,sto,sfo,netid1,netid2,samples_per_symbol
0,1,4099914,5427018,9621322,1,1,40 44 33 22 11 00 01 00 58 00 00 B9 88 3A 2D 11 8A A8 70 66 A9 9F 80 48 26 E7 52 29 AF 78 56 34 12,33,-4.5940775871276855,-128.70838928222656,1803.3702392578125,-0.032988619059324265,8,16,65536
1,2,28126461,29453565,33647869,1,1,40 44 33 22 11 00 01 00 58 02 00 5C D6 73 D9 2B 85 3A C5 61 23 BC 76 BF 47 47 3C F8 F4 78 56 34 12,33,-5.720512390136719,-128.93377685546875,2599.2490234375,-0.033046383410692215,7,15,65536
2,3,40130675,41457779,45652083,1,1,40 44 33 22 11 00 01 00 58 03 00 5C B3 BD D7 AE 69 BF 3B 14 5B EF D6 BD B9 7C 37 85 37 78 56 34 12,33,-1.8568798303604126,-128.87945556640625,331.9281005859375,-0.03303246200084686,7,15,65536
3,4,52134755,53461859,57656163,1,1,40 44 33 22 11 00 01 00 58 04 00 31 63 43 64 6B 6F A4 4C 91 C2 D7 8B 3A AC 4A F4 C5 5B 78 56 34 12,33,-0.6058232188224792,-128.8616485595703,339.97064208984375,-0.03302789852023125,7,15,65536
4,5,64138514,65465618,69659922,1,1,40 44 33 22 11 00 01 00 58 05 00 69 6C 1C DF 73 2C 76 FB D4 0D 64 A2 41 46 90 82 74 C9 78 56 34 12,33,-1.4996066093444824,-128.72189331054688,360.20806884765625,-0.032992079854011536,7,15,65536
5,6,76142471,77469575,81663879,1,1,40 44 33 22 11 00 01 00 58 06 00 50 B7 04 E1 AE AE 8C 5D 1C 65 E0 40 AE C1 24 CE 72 A4 78 56 34 12,33,-1.4743632078170776,-128.7967071533203,347.9142150878906,-0.03301125392317772,7,15,65536
6,7,88145768,89472872,93667176,1,1,40 44 33 22 11 00 01 00 58 07 00 3D 9B 8E 75 34 6B 7D DE 1E F9 48 3E 61 6E 43 6D B6 72 78 56 34 12,33,-1.459572672843933,-128.76316833496094,389.0158386230469,-0.03300265595316887,7,15,65536
7,8,100148783,101475887,105670191,1,1,40 44 33 22 11 00 01 00 58 08 00 38 7B D1 89 7A 18 8B B8 7F BB 6D 67 91 40 8F 03 A5 9D 78 56 34 12,33,-1.7576251029968262,-128.7313995361328,405.6183166503906,-0.03299451619386673,8,16,65536
8,9,112154061,113481165,117675469,1,1,40 44 33 22 11 00 01 00 58 09 00 62 A2 1D DB 0B 62 AF 52 01 BC 88 42 AA 1F D8 A1 2E CE 78 56 34 12,33,-1.4695385694503784,-128.6538848876953,264.7897644042969,-0.03297464922070503,7,15,65536
9,10,124157532,125484636,129678940,1,1,40 44 33 22 11 00 01 00 58 0A 00 5D 6C 2C 7E 06 8C A5 1D 13 C6 9F C2 16 4B 05 58 45 67 78 56 34 12,33,-1.9270089864730835,-128.53689575195312,377.9814147949219,-0.03294466435909271,7,15,65536
10,11,136160321,137487425,141681729,1,1,40 44 33 22 11 00 01 00 58 0B 00 95 C7 C5 3A 1F 37 68 25 72 C2 4A 55 0F 65 31 6B 24 DE 78 56 34 12,33,-1.950516700744629,-128.50990295410156,420.7815246582031,-0.03293774276971817,7,15,65536
11,12,148164287,149491391,153685695,1,1,40 44 33 22 11 00 01 00 58 0C 00 58 33 32 20 52 22 36 72 83 E3 C5 9D 70 A2 26 6E 54 F2 78 56 34 12,33,-2.043355941772461,-129.3915557861328,346.0766906738281,-0.03316371515393257,8,16,65536
12,13,160167558,161494662,165688966,1,1,40 44 33 22 11 00 01 00 58 0D 00 24 92 6A 43 3D BC 1B 41 38 B9 D5 1C 90 96 13 8A B3 84 78 56 34 12,33,-1.7025498151779175,-128.3804931640625,389.6925354003906,-0.032904576510190964,8,16,65536
13,14,172172222,173499326,177693630,1,1,40 44 33 22 11 00 01 00 58 0E 00 7D 76 4E 04 65 EE D3 DB 17 CE A1 BD B3 75 4C 77 45 B4 78 56 34 12,33,-1.7031108140945435,-129.34475708007812,302.2402038574219,-0.03315172344446182,8,16,65536
14,15,184176477,185503581,189697885,1,1,40 44 33 22 11 00 01 00 58 0F 00 69 15 FC 9E A6 D7 37 95 6B D9 95 AB 34 38 27 23 7A F1 78 56 34 12,33,-1.6720691919326782,-128.33187866210938,328.4502258300781,-0.03289211541414261,8,16,65536
15,16,196180066,197507170,201701474,1,1,40 44 33 22 11 00 01 00 58 10 00 E2 A5 15 36 79 4B BE 1D 06 A7 04 B0 F4 2A 2D 12 9A 27 78 56 34 12,33,-2.0733284950256348,-129.3634490966797,369.214599609375,-0.033156510442495346,8,16,65536
16,17,208182831,209509935,213704239,1,1,40 44 33 22 11 00 01 00 58 11 00 F4 0A D3 C6 BA 1C 52 0C CF C8 B1 3E 5A 7F 01 F7 D3 F9 78 56 34 12,33,-1.855231761932373,-128.39451599121094,421.41766357421875,-0.03290816769003868,8,16,65536
