physical_packet_uid,capture_uid,capture_packet_index,sequence_segment,schedule_slot,detection_index,start_sample_2m,predicted_start_sample_2m,timing_residual_samples,reference_id,association_method,association_confidence,status,crc_valid,decoded_frame_hex,catalog_frame_exact,grlora_snr_db,estimated_cfo_hz,sto,sfo,previous_anchor_detection,next_anchor_detection,schedule_period_samples,local_search_used,local_search_score,notes
exp000_sess000_run000:seg00:slot000000,exp000_sess000_run000,0,0,0,0,4099914,4119663,-19749,0,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 00 00 B9 88 3A 2D 11 8A A8 70 66 A9 9F 80 48 26 E7 52 29 AF 78 56 34 12,1,-4.5940775871276855,-128.70838928222656,1803.3702392578125,-0.032988619059324265,0,0,12003773.0,0,,
exp000_sess000_run000:seg00:slot000001,exp000_sess000_run000,1,0,1,,,16123436,,1,schedule_prediction,0.0,ambiguous,0,,0,,,,,0,1,12003773.0,1,2.4128367542072287,schedule slot was not confirmed by local IQ preamble search
exp000_sess000_run000:seg00:slot000002,exp000_sess000_run000,2,0,2,1,28126461,28127209,-748,2,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 02 00 5C D6 73 D9 2B 85 3A C5 61 23 BC 76 BF 47 47 3C F8 F4 78 56 34 12,1,-5.720512390136719,-128.93377685546875,2599.2490234375,-0.033046383410692215,1,1,12003773.0,0,,
exp000_sess000_run000:seg00:slot000003,exp000_sess000_run000,3,0,3,2,40130675,40130982,-307,3,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 03 00 5C B3 BD D7 AE 69 BF 3B 14 5B EF D6 BD B9 7C 37 85 37 78 56 34 12,1,-1.8568798303604126,-128.87945556640625,331.9281005859375,-0.03303246200084686,2,2,12003773.0,0,,
exp000_sess000_run000:seg00:slot000004,exp000_sess000_run000,4,0,4,3,52134755,52134755,0,4,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 04 00 31 63 43 64 6B 6F A4 4C 91 C2 D7 8B 3A AC 4A F4 C5 5B 78 56 34 12,1,-0.6058232188224792,-128.8616485595703,339.97064208984375,-0.03302789852023125,3,3,12003773.0,0,,
exp000_sess000_run000:seg00:slot000005,exp000_sess000_run000,5,0,5,4,64138514,64138528,-14,5,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 05 00 69 6C 1C DF 73 2C 76 FB D4 0D 64 A2 41 46 90 82 74 C9 78 56 34 12,1,-1.4996066093444824,-128.72189331054688,360.20806884765625,-0.032992079854011536,4,4,12003773.0,0,,
exp000_sess000_run000:seg00:slot000006,exp000_sess000_run000,6,0,6,5,76142471,76142301,170,6,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 06 00 50 B7 04 E1 AE AE 8C 5D 1C 65 E0 40 AE C1 24 CE 72 A4 78 56 34 12,1,-1.4743632078170776,-128.7967071533203,347.9142150878906,-0.03301125392317772,5,5,12003773.0,0,,
exp000_sess000_run000:seg00:slot000007,exp000_sess000_run000,7,0,7,6,88145768,88146074,-306,7,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 07 00 3D 9B 8E 75 34 6B 7D DE 1E F9 48 3E 61 6E 43 6D B6 72 78 56 34 12,1,-1.459572672843933,-128.76316833496094,389.0158386230469,-0.03300265595316887,6,6,12003773.0,0,,
exp000_sess000_run000:seg00:slot000008,exp000_sess000_run000,8,0,8,7,100148783,100149847,-1064,8,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 08 00 38 7B D1 89 7A 18 8B B8 7F BB 6D 67 91 40 8F 03 A5 9D 78 56 34 12,1,-1.7576251029968262,-128.7313995361328,405.6183166503906,-0.03299451619386673,7,7,12003773.0,0,,
exp000_sess000_run000:seg00:slot000009,exp000_sess000_run000,9,0,9,8,112154061,112153620,441,9,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 09 00 62 A2 1D DB 0B 62 AF 52 01 BC 88 42 AA 1F D8 A1 2E CE 78 56 34 12,1,-1.4695385694503784,-128.6538848876953,264.7897644042969,-0.03297464922070503,8,8,12003773.0,0,,
exp000_sess000_run000:seg00:slot000010,exp000_sess000_run000,10,0,10,9,124157532,124157393,139,10,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 0A 00 5D 6C 2C 7E 06 8C A5 1D 13 C6 9F C2 16 4B 05 58 45 67 78 56 34 12,1,-1.9270089864730835,-128.53689575195312,377.9814147949219,-0.03294466435909271,9,9,12003773.0,0,,
exp000_sess000_run000:seg00:slot000011,exp000_sess000_run000,11,0,11,10,136160321,136161166,-845,11,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 0B 00 95 C7 C5 3A 1F 37 68 25 72 C2 4A 55 0F 65 31 6B 24 DE 78 56 34 12,1,-1.950516700744629,-128.50990295410156,420.7815246582031,-0.03293774276971817,10,10,12003773.0,0,,
exp000_sess000_run000:seg00:slot000012,exp000_sess000_run000,12,0,12,11,148164287,148164939,-652,12,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 0C 00 58 33 32 20 52 22 36 72 83 E3 C5 9D 70 A2 26 6E 54 F2 78 56 34 12,1,-2.043355941772461,-129.3915557861328,346.0766906738281,-0.03316371515393257,11,11,12003773.0,0,,
exp000_sess000_run000:seg00:slot000013,exp000_sess000_run000,13,0,13,12,160167558,160168712,-1154,13,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 0D 00 24 92 6A 43 3D BC 1B 41 38 B9 D5 1C 90 96 13 8A B3 84 78 56 34 12,1,-1.7025498151779175,-128.3804931640625,389.6925354003906,-0.032904576510190964,12,12,12003773.0,0,,
exp000_sess000_run000:seg00:slot000014,exp000_sess000_run000,14,0,14,13,172172222,172172485,-263,14,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 0E 00 7D 76 4E 04 65 EE D3 DB 17 CE A1 BD B3 75 4C 77 45 B4 78 56 34 12,1,-1.7031108140945435,-129.34475708007812,302.2402038574219,-0.03315172344446182,13,13,12003773.0,0,,
exp000_sess000_run000:seg00:slot000015,exp000_sess000_run000,15,0,15,14,184176477,184176258,219,15,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 0F 00 69 15 FC 9E A6 D7 37 95 6B D9 95 AB 34 38 27 23 7A F1 78 56 34 12,1,-1.6720691919326782,-128.33187866210938,328.4502258300781,-0.03289211541414261,14,14,12003773.0,0,,
exp000_sess000_run000:seg00:slot000016,exp000_sess000_run000,16,0,16,15,196180066,196180031,35,16,crc_exact,1.0,accepted,1,40 44 33 22 11 00 01 00 58 10 00 E2 A5 15 36 79 4B BE 1D 06 A7 04 B0 F4 2A 2D 12 9A 27 78 56 34 12,1,-2.0733284950256348,-129.3634490966797,369.214599609375,-0.033156510442495346,15,15,12003773.0,0,,
