view_id,physical_packet_uid,capture_uid,capture_packet_index,reference_id,ota_path,reference_path,adc_phase_2m,lowrate_phase_1m,combined_decimation_phase_2m,timing_offset_samples_1m,input_sample_rate_hz,input_samples,target_sample_rate_hz,target_samples,split_group
exp0_000000_rxg20_0_fulltrim:q0,exp000_sess000_run000:seg00:slot000000,exp000_sess000_run000,0,0,ota/exp0_000000_rxg20_0_fulltrim.cfile,reference/signalout_000000_fulltrim.cfile,0,0,0,0.0,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000000
exp0_000000_rxg20_0_fulltrim:q1,exp000_sess000_run000:seg00:slot000000,exp000_sess000_run000,0,0,ota/exp0_000000_rxg20_0_fulltrim.cfile,reference/signalout_000000_fulltrim.cfile,0,1,2,1.0,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000000
exp0_000000_rxg20_0_fulltrim:q2,exp000_sess000_run000:seg00:slot000000,exp000_sess000_run000,0,0,ota/exp0_000000_rxg20_0_fulltrim.cfile,reference/signalout_000000_fulltrim.cfile,0,2,4,2.0,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000000
exp0_000000_rxg20_0_fulltrim:q3,exp000_sess000_run000:seg00:slot000000,exp000_sess000_run000,0,0,ota/exp0_000000_rxg20_0_fulltrim.cfile,reference/signalout_000000_fulltrim.cfile,0,3,6,3.0,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000000
exp0_000000_rxg20_1_fulltrim:q0,exp000_sess000_run000:seg00:slot000000,exp000_sess000_run000,0,0,ota/exp0_000000_rxg20_1_fulltrim.cfile,reference/signalout_000000_fulltrim.cfile,1,0,1,0.5,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000000
exp0_000000_rxg20_1_fulltrim:q1,exp000_sess000_run000:seg00:slot000000,exp000_sess000_run000,0,0,ota/exp0_000000_rxg20_1_fulltrim.cfile,reference/signalout_000000_fulltrim.cfile,1,1,3,1.5,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000000
exp0_000000_rxg20_1_fulltrim:q2,exp000_sess000_run000:seg00:slot000000,exp000_sess000_run000,0,0,ota/exp0_000000_rxg20_1_fulltrim.cfile,reference/signalout_000000_fulltrim.cfile,1,2,5,2.5,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000000
exp0_000000_rxg20_1_fulltrim:q3,exp000_sess000_run000:seg00:slot000000,exp000_sess000_run000,0,0,ota/exp0_000000_rxg20_1_fulltrim.cfile,reference/signalout_000000_fulltrim.cfile,1,3,7,3.5,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000000
exp0_000002_rxg20_0_fulltrim:q0,exp000_sess000_run000:seg00:slot000002,exp000_sess000_run000,2,2,ota/exp0_000002_rxg20_0_fulltrim.cfile,reference/signalout_000002_fulltrim.cfile,0,0,0,0.0,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000002
exp0_000002_rxg20_0_fulltrim:q1,exp000_sess000_run000:seg00:slot000002,exp000_sess000_run000,2,2,ota/exp0_000002_rxg20_0_fulltrim.cfile,reference/signalout_000002_fulltrim.cfile,0,1,2,1.0,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000002
exp0_000002_rxg20_0_fulltrim:q2,exp000_sess000_run000:seg00:slot000002,exp000_sess000_run000,2,2,ota/exp0_000002_rxg20_0_fulltrim.cfile,reference/signalout_000002_fulltrim.cfile,0,2,4,2.0,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000002
exp0_000002_rxg20_0_fulltrim:q3,exp000_sess000_run000:seg00:slot000002,exp000_sess000_run000,2,2,ota/exp0_000002_rxg20_0_fulltrim.cfile,reference/signalout_000002_fulltrim.cfile,0,3,6,3.0,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000002
exp0_000002_rxg20_1_fulltrim:q0,exp000_sess000_run000:seg00:slot000002,exp000_sess000_run000,2,2,ota/exp0_000002_rxg20_1_fulltrim.cfile,reference/signalout_000002_fulltrim.cfile,1,0,1,0.5,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000002
exp0_000002_rxg20_1_fulltrim:q1,exp000_sess000_run000:seg00:slot000002,exp000_sess000_run000,2,2,ota/exp0_000002_rxg20_1_fulltrim.cfile,reference/signalout_000002_fulltrim.cfile,1,1,3,1.5,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000002
exp0_000002_rxg20_1_fulltrim:q2,exp000_sess000_run000:seg00:slot000002,exp000_sess000_run000,2,2,ota/exp0_000002_rxg20_1_fulltrim.cfile,reference/signalout_000002_fulltrim.cfile,1,2,5,2.5,250000,692676,1000000,2770704,exp000_sess000_run000:seg00:slot000002
